country,ISO2,ISO,slug,start_date,end_date,lable_end_date,active,new_cases_feature,new_cases_label,stringency_actual,population,gdp_per_capita,population_density,Urban_population,UHC_service_coverage_index,basic_sanitation_services,Population_ages_0_to_14,Population_ages_15_to_64,Population_ages_65_and_over
Fiji,FJ,FJI,fiji,2020-05-16,2020-06-05,2020-06-25,0,0,0,78.7,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-06-05,2020-06-25,2020-07-15,0,0,8,62.04,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-06-25,2020-07-15,2020-08-04,8,8,9,50.93,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-07-15,2020-08-04,2020-08-24,8,1,2,50.93,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-08-04,2020-08-24,2020-09-13,4,1,5,50.93,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-08-24,2020-09-13,2020-10-03,6,4,4,48.15,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Fiji,FJ,FJI,fiji,2020-09-13,2020-10-03,2020-10-23,2,0,1,45.37,889953.0,6220.04642089247,48.3570333880679,56.248,64.0,95.0721750698175,29.2936818011738,65.0820886046791,5.62422959414711
Denmark,DK,DNK,denmark,2020-01-22,2020-02-11,2020-03-02,0,0,4,0.0,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-02-11,2020-03-02,2020-03-22,4,4,1514,11.11,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-03-02,2020-03-22,2020-04-11,1500,1510,6187,72.22,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-03-22,2020-04-11,2020-05-01,3820,4677,7995,72.22,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-04-11,2020-05-01,2020-05-21,2125,3318,5189,68.52,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-05-01,2020-05-21,2020-06-10,978,1871,2707,65.74,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-05-21,2020-06-10,2020-06-30,519,836,1588,57.41,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-06-10,2020-06-30,2020-07-20,514,752,1250,57.41,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-06-30,2020-07-20,2020-08-09,403,498,1791,54.63,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-07-20,2020-08-09,2020-08-29,1073,1293,3738,50.93,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
Denmark,DK,DNK,denmark,2020-08-09,2020-08-29,2020-09-18,1215,2445,7532,50.93,5818553.0,59822.0929608968,137.976565849012,87.874,81.0,99.5972288164915,16.4009587177549,63.6337821533242,19.965259128921
